parentSku,subSku,type,lengthInch,collapsedDimensions,weightG,title,shortTitle,displayPrice,handleStyle,handOrientation,extendedLengthCm
AJP01,无,Spinning/Casting,79.2,21.21 x 2.99 x 1.46,180,"4 Pieces Insert Spinning/Casting 6’6”Fishing Rod and Rod Combo,30 Ton Carbon Fiber Portable Fishing Poles and Reel for Travelling and Bass",,,,,
AJP02,无,Casting,72,37 x 1 x 1,140,"Casting Rod, Strong & Lightweight 24-Ton Graphite Rod, Stainless Steel Guides for Freshwater or Saltwater",,,,,
AJP03,无,Casting,79.2,‎37 x 3.5 x 0.75,90,"Fishing Pole,Sensitive and Durable Kids Baitcasting Rod & Spinning Rods,24 Ton Carbon Fiber 2-Pieces 6' 6"" Insert Fishing Set for Freshwater or Saltwater",,,,,
AJP04,无,spinning,70.92,‎19.5 x 3 x 0.75,250,Fishing Rod Graphite Carbon Fiber Portable Spinning Telescopic Fishing Pole for Boat Saltwater and Freshwater,,,,,
AJP05,无,Spinning,70.8,37 x 3.25 x 1,160,"Fishing Rod Two Pieces,Sensitive Graphite Spinning Pole with Stainless Guide Rings and Comfortable Handle for Travel Saltwater Freshwater 1.8",,,,,
AJP06,无,Casting,70.8,‎38 x 2.85 x 1.5,200,"Fishing Rod, 2Pc Casting Rod Spinning Rod for Freshwater Tournament Quality Fishing Pole with 2 Tips for Bass",,,,,
AJP07,无,Casting,70.8,‎38 x 2.85 x 1.5,200,"Fishing Rod, 2Pc Casting Rod Spinning Rod for Freshwater Tournament Quality Fishing Pole with 2 Tips for Bass",,,,,
AJP08,有,Spinning,46.8,25 x 3.5 x 1.75,140,"Fishing Rod, 2-Piece Composite Graphite & Glass Blanks Saltwater Trolling Rod Offshore Surf Fishing Pole with Stainless Steel Line Guides for Catfish, Salmon Glass Fiber Spinning Rod",,,,,
AJP09,无,Spinning/Casting,72,‎37 x 3.5 x 1.4,160,"Fishing Rod, Composite Graphite & Glass Blanks Spinning Rod & Casting Rod Two-Piece Fishinig Pole with SuperPolymer Handle-Orange-6ft Spinning",,,,,
AJP10,有,Spinning,66,‎38.5 x 3.25 x 0.5,180,"Fishing Rod, Ultralight Sensitive 2 Pieces Trout Spinning Rod, Stainless Steel Line Guides Fishing Pole with Comfortable EVA Grip Rod Handle-Purple-1.68m",,,,,
AJP11,有,Spinning,78,‎34.5 x 0.6 x 0.3,160,"Fishing Rod,Graphite 24 Carbon,Lightweight Spinning & Casting Ultra-Sensitive Fishing Rod Blanks,Trout Panfish 2pcs Inserts Fishing Rod（6'6''in Spinning",,,,,
AJP12,有,Casting,78,‎43 x 1.8 x 0.5,160,"Fishing Rods - IM6 Graphite Blanks Casting & Spinning Rods, 2-Piece Rods with Extra Tip Section,Power Transition System, EVA Handle",,,,,
AJP13,有,Spinning,72,37.3 x 3 x 1,90,Fishing Rods Graphite Lightweight Ultra Light Trout Rods 2 Pieces Cork Handle Crappie Spinning Fishing Rod,,,,,
AJP14,有,Spinning,72,‎37 x 3 x 0.5,90,Fishing Rods Ultra-Sensitive Carbon Spinning Rods Blanks with Comfort EVA Grip Rod Handle 2 piecesTrout Rod,,,,,
AJP15,有,Spinning/Casting,84,‎46.1 x 2.2 x 1.9,90,"Fishing Rods, 24 Ton Carbon Fiber Spinning Rod & Casting Rod Stainless Steel Guides, Lightweight Baitcasting Rod - Two Pieces -7FT with Carrier Case - Spinning Rod",,,,,
AJP16,有,Spinning,72,‎37 x 3 x 1.25,110,"Fishing Rods, Graphite Spinning Rods, Lightweight 2 Pieces Cork Handle Casting",,,,,
AJP17,有,Spinning,72,‎38 x 3 x 0.2,110,"Flexible Fishing Rods, Spinning Rods & Casting Rods, Lightweight Trout Rods 2 Pieces Cork Handle Crappie Fishing",,,,,
AJP18,无,Travel,108,‎29 x 3 x 0.5,200,Fly Fishing Rod 4-Piece 9-Feet Lightweight Ultra Portable Fly Fishing Pole for Trout Salmon Sunfish Outfit Travel Fishing,,,,,
AJP19,有,Spinning,108,‎29 x 3 x 0.5,200,"Spinning Fishing Rod Reel Combo,Two Pieces Pole with Super Smooth and Powerful Spinning Reel for Freshwater",,,,,
AJP20,有,Telescopic/Casting,82.8,‎17.44 x 3.31 x 1.3,200,"Telescopic Fishing Rod - 24 Ton Carbon Fiber Ultralight Fishing Pole with CNC Reel Seat, Portable Retractable Handle, Stainless Steel Guides for Bass Salmon Trout Fishing",,,,,
AJP21,有,Telescopic/Casting,82.8,‎25 x 3 x 1.5,230,"Telescopic Fishing Rod, Carbon Fiber Spinning & Casting Rod, Lightweight Fishing Pole Designed for Bass, Trout, Salmon, Steelhead, for Fresh & Saltwater",,,,,
